Altium Designer Pick and Place Locations
E:\2022\7\RF_microscope_switzheland\DCDC power supply distribution\DCDC power supply distribution\Project Outputs for PCB.PSU.DCDC.001.A1\Pick Place for PCB.PSU.DCDC.001.A1.csv

========================================================================================================================
File Design Information:

Date:       24/02/23
Time:       22:12
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U4","SPBW03F-12","TopLayer","SPBW03F-12","59.3500","16.4000","180","Isolated DC/DC Converters - Through Hole 9-36Vin 12Vout 250mA SIP8 Reg Iso"
"U3","DPBW03F-15","TopLayer","DPBW03F-15","59.4000","34.2750","180","Isolated DC/DC Converters - Through Hole 9-36Vin +/-15Vout +/-100mA SIP Reg Iso"
"U2","DKE10B-24","TopLayer","DKE10B-24","52.4250","65.9000","180","Isolated DC/DC Converters - Through Hole 18-36Vin +/-24Vout 21-210mA, 10W"
"U1","DKE10B-24","TopLayer","DKE10B-24","52.3250","92.5500","180","Isolated DC/DC Converters - Through Hole 18-36Vin +/-24Vout 21-210mA, 10W"
"Q2","2N7002-7-F","TopLayer","SOT23-3N","66.2000","47.0250","180","MOSFET N-CH 60V 200MA SOT23-3"
"Q1","SUD50P08-25L-BE3","TopLayer","TO-252-3","55.9250","47.8250","180","MOSFET 80V P-CH MOSFET (D-S) 17"
"U5","TSR 1-2450E","TopLayer","CONV_TSR_1-2450E","55.4850","7.6500","180","1 Amp POL converter, industrial, 6-36 VDC input, pos.-pos. circuit, cost efficient, LM78 compatible, SIP-3"
"L6","0.96A/47uH","TopLayer","IND_RLB0912","32.3750","5.7750","180","Power Inductors - Leaded 47uH 10% .96A"
"L5","0.96A/47uH","TopLayer","IND_RLB0912","32.1750","29.8500","360","Power Inductors - Leaded 47uH 10% .96A"
"L4","0.96A/47uH","TopLayer","IND_RLB0912","32.1250","17.7000","180","Power Inductors - Leaded 47uH 10% .96A"
"L3","0.96A/47uH","TopLayer","IND_RLB0912","32.0250","41.1500","180","Power Inductors - Leaded 47uH 10% .96A"
"L2","0.96A/47uH","TopLayer","IND_RLB0912","21.0250","63.1500","270","Power Inductors - Leaded 47uH 10% .96A"
"L1","0.96A/47uH","TopLayer","IND_RLB0912","21.0500","93.9250","270","Power Inductors - Leaded 47uH 10% .96A"
"C35","220uF/50V","TopLayer","CAP_ESL227M050AH8AA","22.2750","5.7750","270","CAP ALUM 220UF 20% 50V SMD"
"C34","220uF/50V","TopLayer","CAP_ESL227M050AH8AA","42.5500","5.9250","270","CAP ALUM 220UF 20% 50V SMD"
"C33","220uF/50V","TopLayer","CAP_ESL227M050AH8AA","68.8500","5.8750","270","CAP ALUM 220UF 20% 50V SMD"
"C29","220uF/50V","TopLayer","CAP_ESL227M050AH8AA","22.0750","29.8000","270","CAP ALUM 220UF 20% 50V SMD"
"C28","220uF/50V","TopLayer","CAP_ESL227M050AH8AA","42.1500","29.6750","270","CAP ALUM 220UF 20% 50V SMD"
"C24","220uF/50V","TopLayer","CAP_ESL227M050AH8AA","22.1250","17.7500","270","CAP ALUM 220UF 20% 50V SMD"
"C23","220uF/50V","TopLayer","CAP_ESL227M050AH8AA","42.0250","17.7000","270","CAP ALUM 220UF 20% 50V SMD"
"C22","220uF/50V","TopLayer","CAP_ESL227M050AH8AA","77.3000","17.9500","270","CAP ALUM 220UF 20% 50V SMD"
"C21","220uF/50V","TopLayer","CAP_ESL227M050AH8AA","76.8000","35.5500","270","CAP ALUM 220UF 20% 50V SMD"
